,Model,Train_Condition,Class,fprs,tprs
0,EfficientNet,Imbalanced,Covid,0.0,0.0
1,EfficientNet,Imbalanced,Covid,0.0,0.0025
2,EfficientNet,Imbalanced,Covid,0.0,0.0125
3,EfficientNet,Imbalanced,Covid,0.0,0.0175
4,EfficientNet,Imbalanced,Covid,0.0,0.0225
5,EfficientNet,Imbalanced,Covid,0.0,0.0275
6,EfficientNet,Imbalanced,Covid,0.0,0.0625
7,EfficientNet,Imbalanced,Covid,0.0,0.0675
8,EfficientNet,Imbalanced,Covid,0.0,0.105
9,EfficientNet,Imbalanced,Covid,0.0,0.11
10,EfficientNet,Imbalanced,Covid,0.0,0.1125
11,EfficientNet,Imbalanced,Covid,0.0,0.1175
12,EfficientNet,Imbalanced,Covid,0.0,0.1425
13,EfficientNet,Imbalanced,Covid,0.0,0.1475
14,EfficientNet,Imbalanced,Covid,0.0,0.1975
15,EfficientNet,Imbalanced,Covid,0.00125,0.1975
16,EfficientNet,Imbalanced,Covid,0.00125,0.2175
17,EfficientNet,Imbalanced,Covid,0.00125,0.2225
18,EfficientNet,Imbalanced,Covid,0.00125,0.28
19,EfficientNet,Imbalanced,Covid,0.00125,0.285
20,EfficientNet,Imbalanced,Covid,0.00125,0.315
21,EfficientNet,Imbalanced,Covid,0.00125,0.32
22,EfficientNet,Imbalanced,Covid,0.00125,0.33
23,EfficientNet,Imbalanced,Covid,0.0025,0.33
24,EfficientNet,Imbalanced,Covid,0.0025,0.3475
25,EfficientNet,Imbalanced,Covid,0.00375,0.3475
26,EfficientNet,Imbalanced,Covid,0.00375,0.3725
27,EfficientNet,Imbalanced,Covid,0.00375,0.3775
28,EfficientNet,Imbalanced,Covid,0.00375,0.3825
29,EfficientNet,Imbalanced,Covid,0.005,0.3825
30,EfficientNet,Imbalanced,Covid,0.005,0.3975
31,EfficientNet,Imbalanced,Covid,0.00625,0.3975
32,EfficientNet,Imbalanced,Covid,0.00625,0.405
33,EfficientNet,Imbalanced,Covid,0.00625,0.41
34,EfficientNet,Imbalanced,Covid,0.00625,0.4375
35,EfficientNet,Imbalanced,Covid,0.00625,0.4425
36,EfficientNet,Imbalanced,Covid,0.00625,0.445
37,EfficientNet,Imbalanced,Covid,0.0075,0.445
38,EfficientNet,Imbalanced,Covid,0.0075,0.4525
39,EfficientNet,Imbalanced,Covid,0.00875,0.4525
40,EfficientNet,Imbalanced,Covid,0.00875,0.53
41,EfficientNet,Imbalanced,Covid,0.01,0.53
42,EfficientNet,Imbalanced,Covid,0.01,0.5575
43,EfficientNet,Imbalanced,Covid,0.01125,0.5575
44,EfficientNet,Imbalanced,Covid,0.01125,0.6
45,EfficientNet,Imbalanced,Covid,0.0125,0.6
46,EfficientNet,Imbalanced,Covid,0.0125,0.6225
47,EfficientNet,Imbalanced,Covid,0.01375,0.6225
48,EfficientNet,Imbalanced,Covid,0.01375,0.6325
49,EfficientNet,Imbalanced,Covid,0.015,0.6325
50,EfficientNet,Imbalanced,Covid,0.015,0.64
51,EfficientNet,Imbalanced,Covid,0.01625,0.64
52,EfficientNet,Imbalanced,Covid,0.01625,0.65
53,EfficientNet,Imbalanced,Covid,0.0175,0.65
54,EfficientNet,Imbalanced,Covid,0.0175,0.6525
55,EfficientNet,Imbalanced,Covid,0.01875,0.6525
56,EfficientNet,Imbalanced,Covid,0.01875,0.655
57,EfficientNet,Imbalanced,Covid,0.02,0.655
58,EfficientNet,Imbalanced,Covid,0.02,0.66
59,EfficientNet,Imbalanced,Covid,0.02,0.665
60,EfficientNet,Imbalanced,Covid,0.02,0.68
61,EfficientNet,Imbalanced,Covid,0.02125,0.68
62,EfficientNet,Imbalanced,Covid,0.02125,0.6825
63,EfficientNet,Imbalanced,Covid,0.0225,0.6825
64,EfficientNet,Imbalanced,Covid,0.0225,0.735
65,EfficientNet,Imbalanced,Covid,0.02625,0.735
66,EfficientNet,Imbalanced,Covid,0.02625,0.7425
67,EfficientNet,Imbalanced,Covid,0.02875,0.7425
68,EfficientNet,Imbalanced,Covid,0.02875,0.7475
69,EfficientNet,Imbalanced,Covid,0.03,0.7475
70,EfficientNet,Imbalanced,Covid,0.03,0.76
71,EfficientNet,Imbalanced,Covid,0.03125,0.76
72,EfficientNet,Imbalanced,Covid,0.03125,0.77
73,EfficientNet,Imbalanced,Covid,0.0325,0.77
74,EfficientNet,Imbalanced,Covid,0.0325,0.7725
75,EfficientNet,Imbalanced,Covid,0.0325,0.7775
76,EfficientNet,Imbalanced,Covid,0.0325,0.7825
77,EfficientNet,Imbalanced,Covid,0.035,0.7825
78,EfficientNet,Imbalanced,Covid,0.035,0.79
79,EfficientNet,Imbalanced,Covid,0.03625,0.79
80,EfficientNet,Imbalanced,Covid,0.03625,0.7925
81,EfficientNet,Imbalanced,Covid,0.0375,0.7925
82,EfficientNet,Imbalanced,Covid,0.0375,0.795
83,EfficientNet,Imbalanced,Covid,0.03875,0.795
84,EfficientNet,Imbalanced,Covid,0.03875,0.8
85,EfficientNet,Imbalanced,Covid,0.0425,0.8
86,EfficientNet,Imbalanced,Covid,0.0425,0.8025
87,EfficientNet,Imbalanced,Covid,0.04375,0.8025
88,EfficientNet,Imbalanced,Covid,0.04375,0.805
89,EfficientNet,Imbalanced,Covid,0.045,0.805
90,EfficientNet,Imbalanced,Covid,0.045,0.8075
91,EfficientNet,Imbalanced,Covid,0.04625,0.8075
92,EfficientNet,Imbalanced,Covid,0.04625,0.8125
93,EfficientNet,Imbalanced,Covid,0.04875,0.8125
94,EfficientNet,Imbalanced,Covid,0.04875,0.8225
95,EfficientNet,Imbalanced,Covid,0.04875,0.8275
96,EfficientNet,Imbalanced,Covid,0.05125,0.8275
97,EfficientNet,Imbalanced,Covid,0.05125,0.83
98,EfficientNet,Imbalanced,Covid,0.0525,0.83
99,EfficientNet,Imbalanced,Covid,0.0525,0.8375
100,EfficientNet,Imbalanced,Covid,0.05375,0.8375
101,EfficientNet,Imbalanced,Covid,0.05375,0.84
102,EfficientNet,Imbalanced,Covid,0.05375,0.845
103,EfficientNet,Imbalanced,Covid,0.05625,0.845
104,EfficientNet,Imbalanced,Covid,0.05625,0.855
105,EfficientNet,Imbalanced,Covid,0.0575,0.855
106,EfficientNet,Imbalanced,Covid,0.0575,0.865
107,EfficientNet,Imbalanced,Covid,0.0625,0.865
108,EfficientNet,Imbalanced,Covid,0.0625,0.8725
109,EfficientNet,Imbalanced,Covid,0.06375,0.8725
110,EfficientNet,Imbalanced,Covid,0.06375,0.88
111,EfficientNet,Imbalanced,Covid,0.06625,0.88
112,EfficientNet,Imbalanced,Covid,0.06625,0.8825
113,EfficientNet,Imbalanced,Covid,0.07375,0.8825
114,EfficientNet,Imbalanced,Covid,0.07375,0.885
115,EfficientNet,Imbalanced,Covid,0.07875,0.885
116,EfficientNet,Imbalanced,Covid,0.07875,0.8925
117,EfficientNet,Imbalanced,Covid,0.08,0.8925
118,EfficientNet,Imbalanced,Covid,0.08,0.8975
119,EfficientNet,Imbalanced,Covid,0.08125,0.8975
120,EfficientNet,Imbalanced,Covid,0.08125,0.9025
121,EfficientNet,Imbalanced,Covid,0.0825,0.9025
122,EfficientNet,Imbalanced,Covid,0.0825,0.905
123,EfficientNet,Imbalanced,Covid,0.08375,0.905
124,EfficientNet,Imbalanced,Covid,0.08375,0.9075
125,EfficientNet,Imbalanced,Covid,0.095,0.9075
126,EfficientNet,Imbalanced,Covid,0.095,0.91
127,EfficientNet,Imbalanced,Covid,0.1,0.91
128,EfficientNet,Imbalanced,Covid,0.1,0.9125
129,EfficientNet,Imbalanced,Covid,0.10375,0.9125
130,EfficientNet,Imbalanced,Covid,0.10375,0.915
131,EfficientNet,Imbalanced,Covid,0.11625,0.915
132,EfficientNet,Imbalanced,Covid,0.11625,0.9175
133,EfficientNet,Imbalanced,Covid,0.125,0.9175
134,EfficientNet,Imbalanced,Covid,0.125,0.9275
135,EfficientNet,Imbalanced,Covid,0.12625,0.9275
136,EfficientNet,Imbalanced,Covid,0.12625,0.93
