,Model,Train_Condition,Class,fprs,tprs
0,EfficientNet,DCGAN Augmentation,Covid,0.0,0.0
1,EfficientNet,DCGAN Augmentation,Covid,0.0,0.0025
2,EfficientNet,DCGAN Augmentation,Covid,0.0,0.005
3,EfficientNet,DCGAN Augmentation,Covid,0.0,0.01
4,EfficientNet,DCGAN Augmentation,Covid,0.0,0.0175
5,EfficientNet,DCGAN Augmentation,Covid,0.0,0.0275
6,EfficientNet,DCGAN Augmentation,Covid,0.0,0.045
7,EfficientNet,DCGAN Augmentation,Covid,0.0,0.05
8,EfficientNet,DCGAN Augmentation,Covid,0.0,0.055
9,EfficientNet,DCGAN Augmentation,Covid,0.0,0.065
10,EfficientNet,DCGAN Augmentation,Covid,0.0,0.08
11,EfficientNet,DCGAN Augmentation,Covid,0.0,0.0825
12,EfficientNet,DCGAN Augmentation,Covid,0.0,0.0875
13,EfficientNet,DCGAN Augmentation,Covid,0.0,0.1
14,EfficientNet,DCGAN Augmentation,Covid,0.0,0.105
15,EfficientNet,DCGAN Augmentation,Covid,0.0,0.11
16,EfficientNet,DCGAN Augmentation,Covid,0.0,0.12
17,EfficientNet,DCGAN Augmentation,Covid,0.0,0.1475
18,EfficientNet,DCGAN Augmentation,Covid,0.0,0.1525
19,EfficientNet,DCGAN Augmentation,Covid,0.0,0.1875
20,EfficientNet,DCGAN Augmentation,Covid,0.0,0.1925
21,EfficientNet,DCGAN Augmentation,Covid,0.0,0.2
22,EfficientNet,DCGAN Augmentation,Covid,0.0,0.205
23,EfficientNet,DCGAN Augmentation,Covid,0.0,0.2075
24,EfficientNet,DCGAN Augmentation,Covid,0.0,0.2125
25,EfficientNet,DCGAN Augmentation,Covid,0.0,0.2275
26,EfficientNet,DCGAN Augmentation,Covid,0.0,0.2325
27,EfficientNet,DCGAN Augmentation,Covid,0.0,0.3625
28,EfficientNet,DCGAN Augmentation,Covid,0.0,0.3675
29,EfficientNet,DCGAN Augmentation,Covid,0.0,0.38
