,Model,Train_Condition,Class,fprs,tprs
0,EfficientNet,Traditional Augmentation,Covid,0.0,0.0
1,EfficientNet,Traditional Augmentation,Covid,0.0,0.0025
2,EfficientNet,Traditional Augmentation,Covid,0.0,0.0225
3,EfficientNet,Traditional Augmentation,Covid,0.0,0.0275
4,EfficientNet,Traditional Augmentation,Covid,0.0,0.045
5,EfficientNet,Traditional Augmentation,Covid,0.0,0.05
6,EfficientNet,Traditional Augmentation,Covid,0.0,0.0575
7,EfficientNet,Traditional Augmentation,Covid,0.0,0.0625
8,EfficientNet,Traditional Augmentation,Covid,0.0,0.065
9,EfficientNet,Traditional Augmentation,Covid,0.0,0.0725
10,EfficientNet,Traditional Augmentation,Covid,0.0,0.075
11,EfficientNet,Traditional Augmentation,Covid,0.0,0.08
12,EfficientNet,Traditional Augmentation,Covid,0.0,0.085
13,EfficientNet,Traditional Augmentation,Covid,0.0,0.09
14,EfficientNet,Traditional Augmentation,Covid,0.0,0.0975
15,EfficientNet,Traditional Augmentation,Covid,0.0,0.1125
16,EfficientNet,Traditional Augmentation,Covid,0.0,0.1225
17,EfficientNet,Traditional Augmentation,Covid,0.0,0.1325
18,EfficientNet,Traditional Augmentation,Covid,0.0,0.135
19,EfficientNet,Traditional Augmentation,Covid,0.0,0.14
20,EfficientNet,Traditional Augmentation,Covid,0.0,0.1475
21,EfficientNet,Traditional Augmentation,Covid,0.0,0.1525
22,EfficientNet,Traditional Augmentation,Covid,0.0,0.1975
23,EfficientNet,Traditional Augmentation,Covid,0.0,0.205
24,EfficientNet,Traditional Augmentation,Covid,0.0,0.32
25,EfficientNet,Traditional Augmentation,Covid,0.0,0.325
26,EfficientNet,Traditional Augmentation,Covid,0.0,0.3525
27,EfficientNet,Traditional Augmentation,Covid,0.0,0.3575
28,EfficientNet,Traditional Augmentation,Covid,0.0,0.365
29,EfficientNet,Traditional Augmentation,Covid,0.0,0.37
30,EfficientNet,Traditional Augmentation,Covid,0.0,0.4225
31,EfficientNet,Traditional Augmentation,Covid,0.00125,0.4225
32,EfficientNet,Traditional Augmentation,Covid,0.00125,0.4475
33,EfficientNet,Traditional Augmentation,Covid,0.00125,0.4525
34,EfficientNet,Traditional Augmentation,Covid,0.0025,0.4525
35,EfficientNet,Traditional Augmentation,Covid,0.0025,0.54
36,EfficientNet,Traditional Augmentation,Covid,0.00375,0.54
37,EfficientNet,Traditional Augmentation,Covid,0.00375,0.545
38,EfficientNet,Traditional Augmentation,Covid,0.005,0.545
39,EfficientNet,Traditional Augmentation,Covid,0.005,0.55
40,EfficientNet,Traditional Augmentation,Covid,0.005,0.555
41,EfficientNet,Traditional Augmentation,Covid,0.005,0.5825
42,EfficientNet,Traditional Augmentation,Covid,0.00625,0.5825
43,EfficientNet,Traditional Augmentation,Covid,0.00625,0.5925
44,EfficientNet,Traditional Augmentation,Covid,0.0075,0.5925
45,EfficientNet,Traditional Augmentation,Covid,0.0075,0.6275
46,EfficientNet,Traditional Augmentation,Covid,0.00875,0.6275
47,EfficientNet,Traditional Augmentation,Covid,0.00875,0.635
48,EfficientNet,Traditional Augmentation,Covid,0.01,0.635
49,EfficientNet,Traditional Augmentation,Covid,0.01,0.6525
50,EfficientNet,Traditional Augmentation,Covid,0.01125,0.6525
51,EfficientNet,Traditional Augmentation,Covid,0.01125,0.665
52,EfficientNet,Traditional Augmentation,Covid,0.0125,0.665
53,EfficientNet,Traditional Augmentation,Covid,0.0125,0.675
