,Model,Train_Condition,Class,fprs,tprs
0,EfficientNet,WGAN Augmentation,Covid,0.0,0.0
1,EfficientNet,WGAN Augmentation,Covid,0.0,0.0025
2,EfficientNet,WGAN Augmentation,Covid,0.0,0.0075
3,EfficientNet,WGAN Augmentation,Covid,0.0,0.0125
4,EfficientNet,WGAN Augmentation,Covid,0.0,0.0275
5,EfficientNet,WGAN Augmentation,Covid,0.0,0.0325
6,EfficientNet,WGAN Augmentation,Covid,0.0,0.05
7,EfficientNet,WGAN Augmentation,Covid,0.0,0.055
8,EfficientNet,WGAN Augmentation,Covid,0.0,0.0575
9,EfficientNet,WGAN Augmentation,Covid,0.0,0.0625
10,EfficientNet,WGAN Augmentation,Covid,0.0,0.085
11,EfficientNet,WGAN Augmentation,Covid,0.0,0.09
12,EfficientNet,WGAN Augmentation,Covid,0.0,0.1
13,EfficientNet,WGAN Augmentation,Covid,0.0,0.105
14,EfficientNet,WGAN Augmentation,Covid,0.0,0.1075
15,EfficientNet,WGAN Augmentation,Covid,0.0,0.1175
16,EfficientNet,WGAN Augmentation,Covid,0.0,0.135
17,EfficientNet,WGAN Augmentation,Covid,0.0,0.14
18,EfficientNet,WGAN Augmentation,Covid,0.0,0.1875
19,EfficientNet,WGAN Augmentation,Covid,0.0,0.1925
20,EfficientNet,WGAN Augmentation,Covid,0.0,0.2575
21,EfficientNet,WGAN Augmentation,Covid,0.0,0.2625
22,EfficientNet,WGAN Augmentation,Covid,0.0,0.34
23,EfficientNet,WGAN Augmentation,Covid,0.00125,0.34
24,EfficientNet,WGAN Augmentation,Covid,0.00125,0.39
25,EfficientNet,WGAN Augmentation,Covid,0.00125,0.395
26,EfficientNet,WGAN Augmentation,Covid,0.00125,0.5325
27,EfficientNet,WGAN Augmentation,Covid,0.00125,0.5375
28,EfficientNet,WGAN Augmentation,Covid,0.00125,0.6
29,EfficientNet,WGAN Augmentation,Covid,0.0025,0.6
30,EfficientNet,WGAN Augmentation,Covid,0.0025,0.6025
31,EfficientNet,WGAN Augmentation,Covid,0.00375,0.6025
32,EfficientNet,WGAN Augmentation,Covid,0.00375,0.6225
33,EfficientNet,WGAN Augmentation,Covid,0.00375,0.6275
34,EfficientNet,WGAN Augmentation,Covid,0.00375,0.6725
35,EfficientNet,WGAN Augmentation,Covid,0.005,0.6725
36,EfficientNet,WGAN Augmentation,Covid,0.005,0.71
37,EfficientNet,WGAN Augmentation,Covid,0.00625,0.71
38,EfficientNet,WGAN Augmentation,Covid,0.00625,0.72
39,EfficientNet,WGAN Augmentation,Covid,0.0075,0.72
40,EfficientNet,WGAN Augmentation,Covid,0.0075,0.725
41,EfficientNet,WGAN Augmentation,Covid,0.0075,0.73
42,EfficientNet,WGAN Augmentation,Covid,0.0075,0.7725
43,EfficientNet,WGAN Augmentation,Covid,0.0075,0.7775
44,EfficientNet,WGAN Augmentation,Covid,0.0075,0.78
45,EfficientNet,WGAN Augmentation,Covid,0.00875,0.78
46,EfficientNet,WGAN Augmentation,Covid,0.00875,0.785
47,EfficientNet,WGAN Augmentation,Covid,0.01,0.785
48,EfficientNet,WGAN Augmentation,Covid,0.01,0.795
49,EfficientNet,WGAN Augmentation,Covid,0.01,0.805
50,EfficientNet,WGAN Augmentation,Covid,0.01,0.8325
51,EfficientNet,WGAN Augmentation,Covid,0.01125,0.8325
52,EfficientNet,WGAN Augmentation,Covid,0.01125,0.85
53,EfficientNet,WGAN Augmentation,Covid,0.0125,0.85
54,EfficientNet,WGAN Augmentation,Covid,0.0125,0.8525
55,EfficientNet,WGAN Augmentation,Covid,0.01375,0.8525
56,EfficientNet,WGAN Augmentation,Covid,0.01375,0.86
57,EfficientNet,WGAN Augmentation,Covid,0.015,0.86
