,Model,Train_Condition,Class,fprs,tprs
0,EfficientNet,WGANGP Augmentation,Covid,0.0,0.0
1,EfficientNet,WGANGP Augmentation,Covid,0.0,0.0025
2,EfficientNet,WGANGP Augmentation,Covid,0.0,0.01
3,EfficientNet,WGANGP Augmentation,Covid,0.0,0.015
4,EfficientNet,WGANGP Augmentation,Covid,0.0,0.0325
5,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.0325
6,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.0475
7,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.055
8,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.06
9,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.0625
10,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.0675
11,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.07
12,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.075
13,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.0775
14,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.0825
15,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.1025
16,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.1125
17,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.115
18,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.125
19,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.1425
20,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.1475
21,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.155
22,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.16
23,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.165
24,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.1775
25,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.185
26,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.19
27,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.2225
28,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.2275
29,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.23
30,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.235
31,EfficientNet,WGANGP Augmentation,Covid,0.00125,0.2425
