,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,Imbalanced,Covid,0.0,0.0
1,GoogLeNet,Imbalanced,Covid,0.0,0.0025
2,GoogLeNet,Imbalanced,Covid,0.0,0.0075
3,GoogLeNet,Imbalanced,Covid,0.0,0.0175
4,GoogLeNet,Imbalanced,Covid,0.0,0.0225
5,GoogLeNet,Imbalanced,Covid,0.0,0.03
6,GoogLeNet,Imbalanced,Covid,0.0,0.035
7,GoogLeNet,Imbalanced,Covid,0.0,0.0675
8,GoogLeNet,Imbalanced,Covid,0.0,0.0725
9,GoogLeNet,Imbalanced,Covid,0.0,0.075
10,GoogLeNet,Imbalanced,Covid,0.0,0.0825
11,GoogLeNet,Imbalanced,Covid,0.0,0.09
12,GoogLeNet,Imbalanced,Covid,0.0,0.095
13,GoogLeNet,Imbalanced,Covid,0.0,0.1375
14,GoogLeNet,Imbalanced,Covid,0.0,0.1425
15,GoogLeNet,Imbalanced,Covid,0.0,0.1825
16,GoogLeNet,Imbalanced,Covid,0.0,0.1975
17,GoogLeNet,Imbalanced,Covid,0.0,0.2125
18,GoogLeNet,Imbalanced,Covid,0.0,0.2175
19,GoogLeNet,Imbalanced,Covid,0.0,0.2225
20,GoogLeNet,Imbalanced,Covid,0.0,0.2275
21,GoogLeNet,Imbalanced,Covid,0.0,0.23
22,GoogLeNet,Imbalanced,Covid,0.0,0.2375
23,GoogLeNet,Imbalanced,Covid,0.0,0.2525
24,GoogLeNet,Imbalanced,Covid,0.0,0.2625
25,GoogLeNet,Imbalanced,Covid,0.0,0.265
26,GoogLeNet,Imbalanced,Covid,0.0,0.27
27,GoogLeNet,Imbalanced,Covid,0.0,0.28
28,GoogLeNet,Imbalanced,Covid,0.0,0.29
29,GoogLeNet,Imbalanced,Covid,0.0,0.3025
30,GoogLeNet,Imbalanced,Covid,0.0,0.3125
31,GoogLeNet,Imbalanced,Covid,0.0,0.3225
32,GoogLeNet,Imbalanced,Covid,0.0,0.3275
33,GoogLeNet,Imbalanced,Covid,0.0,0.35
34,GoogLeNet,Imbalanced,Covid,0.0,0.355
35,GoogLeNet,Imbalanced,Covid,0.00125,0.355
36,GoogLeNet,Imbalanced,Covid,0.00125,0.365
37,GoogLeNet,Imbalanced,Covid,0.00125,0.37
38,GoogLeNet,Imbalanced,Covid,0.00125,0.38
39,GoogLeNet,Imbalanced,Covid,0.00125,0.3875
40,GoogLeNet,Imbalanced,Covid,0.00125,0.4075
41,GoogLeNet,Imbalanced,Covid,0.0025,0.4075
42,GoogLeNet,Imbalanced,Covid,0.0025,0.53
43,GoogLeNet,Imbalanced,Covid,0.0025,0.535
44,GoogLeNet,Imbalanced,Covid,0.0025,0.5825
45,GoogLeNet,Imbalanced,Covid,0.00375,0.5825
46,GoogLeNet,Imbalanced,Covid,0.00375,0.6
47,GoogLeNet,Imbalanced,Covid,0.00375,0.605
48,GoogLeNet,Imbalanced,Covid,0.00375,0.725
49,GoogLeNet,Imbalanced,Covid,0.005,0.725
50,GoogLeNet,Imbalanced,Covid,0.005,0.7325
51,GoogLeNet,Imbalanced,Covid,0.00625,0.7325
52,GoogLeNet,Imbalanced,Covid,0.00625,0.75
53,GoogLeNet,Imbalanced,Covid,0.0075,0.75
54,GoogLeNet,Imbalanced,Covid,0.0075,0.7525
55,GoogLeNet,Imbalanced,Covid,0.00875,0.7525
56,GoogLeNet,Imbalanced,Covid,0.00875,0.785
