,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0
1,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0025
2,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0125
3,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0175
4,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0225
5,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.025
6,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.03
7,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0525
8,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0575
9,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0625
10,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0725
11,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0825
12,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0875
13,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.095
14,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1
15,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.105
16,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.115
17,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1275
18,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1375
19,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.14
20,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.145
21,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2375
22,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.245
23,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.275
24,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.28
25,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.305
26,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.305
27,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.31
28,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.34
29,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.345
30,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.375
31,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.38
32,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.395
33,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.4
34,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.4375
35,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.4425
36,GoogLeNet,DCGAN Augmentation,Covid,0.00125,0.4675
37,GoogLeNet,DCGAN Augmentation,Covid,0.0025,0.4675
38,GoogLeNet,DCGAN Augmentation,Covid,0.0025,0.4725
39,GoogLeNet,DCGAN Augmentation,Covid,0.0025,0.5
40,GoogLeNet,DCGAN Augmentation,Covid,0.0025,0.505
41,GoogLeNet,DCGAN Augmentation,Covid,0.0025,0.565
42,GoogLeNet,DCGAN Augmentation,Covid,0.00375,0.565
43,GoogLeNet,DCGAN Augmentation,Covid,0.00375,0.655
44,GoogLeNet,DCGAN Augmentation,Covid,0.00375,0.66
45,GoogLeNet,DCGAN Augmentation,Covid,0.00375,0.7325
46,GoogLeNet,DCGAN Augmentation,Covid,0.005,0.7325
47,GoogLeNet,DCGAN Augmentation,Covid,0.005,0.735
48,GoogLeNet,DCGAN Augmentation,Covid,0.00625,0.735
49,GoogLeNet,DCGAN Augmentation,Covid,0.00625,0.7375
