,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0
1,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0125
2,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0175
3,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0275
4,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0375
5,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0425
6,GoogLeNet,Traditional Augmentation,Covid,0.0,0.045
7,GoogLeNet,Traditional Augmentation,Covid,0.0,0.05
8,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0525
9,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0575
10,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0675
11,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0725
12,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0825
13,GoogLeNet,Traditional Augmentation,Covid,0.0,0.09
14,GoogLeNet,Traditional Augmentation,Covid,0.0,0.095
15,GoogLeNet,Traditional Augmentation,Covid,0.0,0.105
16,GoogLeNet,Traditional Augmentation,Covid,0.0,0.11
17,GoogLeNet,Traditional Augmentation,Covid,0.0,0.12
18,GoogLeNet,Traditional Augmentation,Covid,0.0,0.125
19,GoogLeNet,Traditional Augmentation,Covid,0.0,0.13
20,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1325
21,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1375
22,GoogLeNet,Traditional Augmentation,Covid,0.0,0.14
23,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1475
24,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1575
25,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1625
26,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1725
27,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1775
28,GoogLeNet,Traditional Augmentation,Covid,0.0,0.18
29,GoogLeNet,Traditional Augmentation,Covid,0.0,0.19
30,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1925
31,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1975
32,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2075
33,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2175
34,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2225
35,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2325
36,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2375
