,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0
1,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0025
2,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0075
3,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0125
4,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0175
5,GoogLeNet,WGAN Augmentation,Covid,0.0,0.02
6,GoogLeNet,WGAN Augmentation,Covid,0.0,0.035
7,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0375
8,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0475
9,GoogLeNet,WGAN Augmentation,Covid,0.0,0.05
10,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0575
11,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0625
12,GoogLeNet,WGAN Augmentation,Covid,0.0,0.07
13,GoogLeNet,WGAN Augmentation,Covid,0.0,0.075
14,GoogLeNet,WGAN Augmentation,Covid,0.0,0.095
15,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1025
16,GoogLeNet,WGAN Augmentation,Covid,0.0,0.11
17,GoogLeNet,WGAN Augmentation,Covid,0.0,0.12
18,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1275
19,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1325
20,GoogLeNet,WGAN Augmentation,Covid,0.0,0.135
21,GoogLeNet,WGAN Augmentation,Covid,0.0,0.14
22,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1475
23,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1525
24,GoogLeNet,WGAN Augmentation,Covid,0.0,0.155
25,GoogLeNet,WGAN Augmentation,Covid,0.0,0.165
26,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1675
27,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1775
28,GoogLeNet,WGAN Augmentation,Covid,0.0,0.18
29,GoogLeNet,WGAN Augmentation,Covid,0.0,0.185
30,GoogLeNet,WGAN Augmentation,Covid,0.0,0.21
31,GoogLeNet,WGAN Augmentation,Covid,0.0,0.22
32,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2325
33,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2375
34,GoogLeNet,WGAN Augmentation,Covid,0.0,0.24
35,GoogLeNet,WGAN Augmentation,Covid,0.0,0.25
36,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2625
37,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2675
38,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2775
39,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2875
40,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3075
41,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3125
42,GoogLeNet,WGAN Augmentation,Covid,0.0,0.33
43,GoogLeNet,WGAN Augmentation,Covid,0.0,0.335
44,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3575
45,GoogLeNet,WGAN Augmentation,Covid,0.0,0.365
46,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4125
47,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4175
48,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4275
49,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4325
50,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4425
51,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4525
52,GoogLeNet,WGAN Augmentation,Covid,0.0,0.46
53,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.46
54,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.465
55,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.485
56,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.49
57,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.5025
58,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.5075
59,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.5275
60,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.5325
61,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.555
62,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.565
63,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.5825
64,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.5875
65,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.695
66,GoogLeNet,WGAN Augmentation,Covid,0.0025,0.695
67,GoogLeNet,WGAN Augmentation,Covid,0.0025,0.7325
68,GoogLeNet,WGAN Augmentation,Covid,0.00375,0.7325
69,GoogLeNet,WGAN Augmentation,Covid,0.00375,0.7375
70,GoogLeNet,WGAN Augmentation,Covid,0.00375,0.7425
71,GoogLeNet,WGAN Augmentation,Covid,0.00375,0.8325
72,GoogLeNet,WGAN Augmentation,Covid,0.005,0.8325
73,GoogLeNet,WGAN Augmentation,Covid,0.005,0.855
74,GoogLeNet,WGAN Augmentation,Covid,0.00625,0.855
75,GoogLeNet,WGAN Augmentation,Covid,0.00625,0.8725
76,GoogLeNet,WGAN Augmentation,Covid,0.0075,0.8725
77,GoogLeNet,WGAN Augmentation,Covid,0.0075,0.9475
78,GoogLeNet,WGAN Augmentation,Covid,0.0075,0.9525
79,GoogLeNet,WGAN Augmentation,Covid,0.0075,0.955
80,GoogLeNet,WGAN Augmentation,Covid,0.00875,0.955
81,GoogLeNet,WGAN Augmentation,Covid,0.00875,0.9625
82,GoogLeNet,WGAN Augmentation,Covid,0.01125,0.9625
83,GoogLeNet,WGAN Augmentation,Covid,0.01125,0.9675
84,GoogLeNet,WGAN Augmentation,Covid,0.0125,0.9675
85,GoogLeNet,WGAN Augmentation,Covid,0.0125,0.98
86,GoogLeNet,WGAN Augmentation,Covid,0.0125,0.985
87,GoogLeNet,WGAN Augmentation,Covid,0.02,0.985
88,GoogLeNet,WGAN Augmentation,Covid,0.02,0.9875
89,GoogLeNet,WGAN Augmentation,Covid,0.02125,0.9875
90,GoogLeNet,WGAN Augmentation,Covid,0.02125,0.99
91,GoogLeNet,WGAN Augmentation,Covid,0.0225,0.99
92,GoogLeNet,WGAN Augmentation,Covid,0.0225,0.9925
93,GoogLeNet,WGAN Augmentation,Covid,0.02375,0.9925
94,GoogLeNet,WGAN Augmentation,Covid,0.02375,0.995
95,GoogLeNet,WGAN Augmentation,Covid,0.03625,0.995
96,GoogLeNet,WGAN Augmentation,Covid,0.03625,0.9975
97,GoogLeNet,WGAN Augmentation,Covid,0.21875,0.9975
98,GoogLeNet,WGAN Augmentation,Covid,0.22125,0.9975
99,GoogLeNet,WGAN Augmentation,Covid,0.24625,0.9975
100,GoogLeNet,WGAN Augmentation,Covid,0.24875,0.9975
101,GoogLeNet,WGAN Augmentation,Covid,0.67875,0.9975
102,GoogLeNet,WGAN Augmentation,Covid,0.68125,0.9975
103,GoogLeNet,WGAN Augmentation,Covid,0.755,0.9975
104,GoogLeNet,WGAN Augmentation,Covid,0.7575,0.9975
105,GoogLeNet,WGAN Augmentation,Covid,0.8275,0.9975
106,GoogLeNet,WGAN Augmentation,Covid,0.8275,1.0
107,GoogLeNet,WGAN Augmentation,Covid,1.0,1.0
108,GoogLeNet,WGAN Augmentation,Normal,0.0,0.0
109,GoogLeNet,WGAN Augmentation,Normal,0.0,0.0125
110,GoogLeNet,WGAN Augmentation,Normal,0.0,0.025
