,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0
1,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0025
2,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.005
3,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0125
4,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.015
5,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0225
6,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0275
7,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0375
8,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0425
9,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.05
10,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.055
11,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0625
12,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0725
13,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0775
14,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0825
15,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0875
16,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.095
17,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.11
18,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1175
19,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1225
20,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.13
21,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.135
22,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.14
23,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.145
24,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1525
25,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.16
26,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.165
27,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.17
28,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.185
29,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1875
30,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1975
31,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2025
32,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2075
33,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.21
34,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.22
35,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.23
36,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.235
37,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2425
38,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2525
39,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2575
40,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.26
41,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.265
42,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.27
43,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.275
44,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2825
45,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2875
46,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.29
47,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.3
48,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.3125
49,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.3175
50,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.3325
51,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.34
