,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,Imbalanced,Covid,0.0,0.0
1,GoogLeNet,Imbalanced,Covid,0.0,0.005
2,GoogLeNet,Imbalanced,Covid,0.0,0.01
3,GoogLeNet,Imbalanced,Covid,0.0,0.015
4,GoogLeNet,Imbalanced,Covid,0.0,0.03
5,GoogLeNet,Imbalanced,Covid,0.0,0.035
6,GoogLeNet,Imbalanced,Covid,0.0,0.1575
7,GoogLeNet,Imbalanced,Covid,0.00125,0.1575
8,GoogLeNet,Imbalanced,Covid,0.00125,0.175
9,GoogLeNet,Imbalanced,Covid,0.00125,0.18
10,GoogLeNet,Imbalanced,Covid,0.00125,0.205
11,GoogLeNet,Imbalanced,Covid,0.00125,0.21
12,GoogLeNet,Imbalanced,Covid,0.00125,0.215
13,GoogLeNet,Imbalanced,Covid,0.0025,0.215
14,GoogLeNet,Imbalanced,Covid,0.0025,0.25
15,GoogLeNet,Imbalanced,Covid,0.00375,0.25
16,GoogLeNet,Imbalanced,Covid,0.00375,0.3025
17,GoogLeNet,Imbalanced,Covid,0.005,0.3025
18,GoogLeNet,Imbalanced,Covid,0.005,0.305
19,GoogLeNet,Imbalanced,Covid,0.005,0.31
20,GoogLeNet,Imbalanced,Covid,0.005,0.3275
21,GoogLeNet,Imbalanced,Covid,0.00625,0.3275
22,GoogLeNet,Imbalanced,Covid,0.00625,0.345
23,GoogLeNet,Imbalanced,Covid,0.0075,0.345
24,GoogLeNet,Imbalanced,Covid,0.0075,0.3575
25,GoogLeNet,Imbalanced,Covid,0.00875,0.3575
26,GoogLeNet,Imbalanced,Covid,0.00875,0.37
27,GoogLeNet,Imbalanced,Covid,0.01,0.37
28,GoogLeNet,Imbalanced,Covid,0.01,0.38
29,GoogLeNet,Imbalanced,Covid,0.01125,0.38
30,GoogLeNet,Imbalanced,Covid,0.01125,0.3925
31,GoogLeNet,Imbalanced,Covid,0.0125,0.3925
32,GoogLeNet,Imbalanced,Covid,0.0125,0.42
33,GoogLeNet,Imbalanced,Covid,0.015,0.42
34,GoogLeNet,Imbalanced,Covid,0.015,0.4225
35,GoogLeNet,Imbalanced,Covid,0.01625,0.4225
36,GoogLeNet,Imbalanced,Covid,0.01625,0.43
37,GoogLeNet,Imbalanced,Covid,0.01625,0.435
38,GoogLeNet,Imbalanced,Covid,0.01625,0.4375
39,GoogLeNet,Imbalanced,Covid,0.0175,0.4375
40,GoogLeNet,Imbalanced,Covid,0.0175,0.4475
41,GoogLeNet,Imbalanced,Covid,0.01875,0.4475
42,GoogLeNet,Imbalanced,Covid,0.01875,0.4625
43,GoogLeNet,Imbalanced,Covid,0.02,0.4625
44,GoogLeNet,Imbalanced,Covid,0.02,0.47
45,GoogLeNet,Imbalanced,Covid,0.02125,0.47
46,GoogLeNet,Imbalanced,Covid,0.02125,0.505
47,GoogLeNet,Imbalanced,Covid,0.0225,0.505
48,GoogLeNet,Imbalanced,Covid,0.0225,0.5225
49,GoogLeNet,Imbalanced,Covid,0.025,0.5225
50,GoogLeNet,Imbalanced,Covid,0.025,0.5375
51,GoogLeNet,Imbalanced,Covid,0.02625,0.5375
52,GoogLeNet,Imbalanced,Covid,0.02625,0.545
53,GoogLeNet,Imbalanced,Covid,0.0275,0.545
54,GoogLeNet,Imbalanced,Covid,0.0275,0.55
55,GoogLeNet,Imbalanced,Covid,0.02875,0.55
56,GoogLeNet,Imbalanced,Covid,0.02875,0.5625
57,GoogLeNet,Imbalanced,Covid,0.03125,0.5625
58,GoogLeNet,Imbalanced,Covid,0.03125,0.58
59,GoogLeNet,Imbalanced,Covid,0.0325,0.58
60,GoogLeNet,Imbalanced,Covid,0.0325,0.5875
61,GoogLeNet,Imbalanced,Covid,0.0375,0.5875
62,GoogLeNet,Imbalanced,Covid,0.0375,0.6
63,GoogLeNet,Imbalanced,Covid,0.0375,0.605
64,GoogLeNet,Imbalanced,Covid,0.0375,0.6075
65,GoogLeNet,Imbalanced,Covid,0.03875,0.6075
