,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0
1,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.005
2,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.015
3,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.03
4,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.065
5,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0725
6,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0775
7,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.085
8,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.0975
9,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1025
10,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1175
11,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1225
12,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1275
13,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.14
14,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1475
15,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.155
16,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1625
17,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.1675
18,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.175
19,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.18
20,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.195
21,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.205
22,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.215
23,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2175
24,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2225
25,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2275
26,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.235
27,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.245
28,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2475
29,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2525
30,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2575
31,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2625
32,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2775
33,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2875
34,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.295
35,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.2975
36,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.3025
37,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.3225
38,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.3275
39,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.335
40,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.34
41,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.3475
42,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.3525
43,GoogLeNet,DCGAN Augmentation,Covid,0.0,0.36
