,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0
1,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0025
2,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0175
3,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0225
4,GoogLeNet,Traditional Augmentation,Covid,0.0,0.03
5,GoogLeNet,Traditional Augmentation,Covid,0.0,0.04
6,GoogLeNet,Traditional Augmentation,Covid,0.0,0.05
7,GoogLeNet,Traditional Augmentation,Covid,0.0,0.065
8,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0675
9,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0825
10,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0875
11,GoogLeNet,Traditional Augmentation,Covid,0.0,0.095
12,GoogLeNet,Traditional Augmentation,Covid,0.0,0.0975
13,GoogLeNet,Traditional Augmentation,Covid,0.0,0.105
14,GoogLeNet,Traditional Augmentation,Covid,0.0,0.11
15,GoogLeNet,Traditional Augmentation,Covid,0.0,0.125
16,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1275
17,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1575
18,GoogLeNet,Traditional Augmentation,Covid,0.0,0.16
19,GoogLeNet,Traditional Augmentation,Covid,0.0,0.1675
20,GoogLeNet,Traditional Augmentation,Covid,0.0,0.18
21,GoogLeNet,Traditional Augmentation,Covid,0.0,0.185
22,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2
23,GoogLeNet,Traditional Augmentation,Covid,0.0,0.21
24,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2125
25,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2175
26,GoogLeNet,Traditional Augmentation,Covid,0.0,0.22
27,GoogLeNet,Traditional Augmentation,Covid,0.0,0.225
28,GoogLeNet,Traditional Augmentation,Covid,0.0,0.23
29,GoogLeNet,Traditional Augmentation,Covid,0.0,0.235
30,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2425
31,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2475
32,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2525
33,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2575
34,GoogLeNet,Traditional Augmentation,Covid,0.0,0.265
35,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2675
36,GoogLeNet,Traditional Augmentation,Covid,0.0,0.28
37,GoogLeNet,Traditional Augmentation,Covid,0.0,0.285
38,GoogLeNet,Traditional Augmentation,Covid,0.0,0.2925
39,GoogLeNet,Traditional Augmentation,Covid,0.0,0.295
40,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3
41,GoogLeNet,Traditional Augmentation,Covid,0.0,0.305
42,GoogLeNet,Traditional Augmentation,Covid,0.0,0.31
43,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3175
44,GoogLeNet,Traditional Augmentation,Covid,0.0,0.32
45,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3275
46,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3375
47,GoogLeNet,Traditional Augmentation,Covid,0.0,0.34
48,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3475
49,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3575
50,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3725
51,GoogLeNet,Traditional Augmentation,Covid,0.0,0.3775
52,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4125
53,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4175
54,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4325
55,GoogLeNet,Traditional Augmentation,Covid,0.0,0.44
56,GoogLeNet,Traditional Augmentation,Covid,0.0,0.445
57,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4525
58,GoogLeNet,Traditional Augmentation,Covid,0.0,0.455
59,GoogLeNet,Traditional Augmentation,Covid,0.0,0.46
60,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4675
61,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4725
62,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4775
63,GoogLeNet,Traditional Augmentation,Covid,0.0,0.4875
64,GoogLeNet,Traditional Augmentation,Covid,0.0,0.495
65,GoogLeNet,Traditional Augmentation,Covid,0.0,0.5
66,GoogLeNet,Traditional Augmentation,Covid,0.0,0.5075
67,GoogLeNet,Traditional Augmentation,Covid,0.0,0.5125
68,GoogLeNet,Traditional Augmentation,Covid,0.0,0.5325
69,GoogLeNet,Traditional Augmentation,Covid,0.0,0.5375
70,GoogLeNet,Traditional Augmentation,Covid,0.0,0.54
71,GoogLeNet,Traditional Augmentation,Covid,0.0,0.545
72,GoogLeNet,Traditional Augmentation,Covid,0.0,0.5475
73,GoogLeNet,Traditional Augmentation,Covid,0.00125,0.5475
74,GoogLeNet,Traditional Augmentation,Covid,0.00125,0.555
75,GoogLeNet,Traditional Augmentation,Covid,0.00125,0.56
76,GoogLeNet,Traditional Augmentation,Covid,0.00125,0.5625
77,GoogLeNet,Traditional Augmentation,Covid,0.00125,0.5675
78,GoogLeNet,Traditional Augmentation,Covid,0.00125,0.61
79,GoogLeNet,Traditional Augmentation,Covid,0.0025,0.6125
80,GoogLeNet,Traditional Augmentation,Covid,0.0025,0.6225
81,GoogLeNet,Traditional Augmentation,Covid,0.0025,0.6325
82,GoogLeNet,Traditional Augmentation,Covid,0.0025,0.6475
83,GoogLeNet,Traditional Augmentation,Covid,0.00375,0.6475
84,GoogLeNet,Traditional Augmentation,Covid,0.00375,0.6575
85,GoogLeNet,Traditional Augmentation,Covid,0.00375,0.6625
86,GoogLeNet,Traditional Augmentation,Covid,0.00375,0.67
87,GoogLeNet,Traditional Augmentation,Covid,0.00375,0.675
88,GoogLeNet,Traditional Augmentation,Covid,0.00375,0.73
89,GoogLeNet,Traditional Augmentation,Covid,0.005,0.73
90,GoogLeNet,Traditional Augmentation,Covid,0.005,0.775
91,GoogLeNet,Traditional Augmentation,Covid,0.00625,0.775
92,GoogLeNet,Traditional Augmentation,Covid,0.00625,0.7825
93,GoogLeNet,Traditional Augmentation,Covid,0.00625,0.7875
94,GoogLeNet,Traditional Augmentation,Covid,0.00625,0.8
95,GoogLeNet,Traditional Augmentation,Covid,0.0075,0.8
96,GoogLeNet,Traditional Augmentation,Covid,0.0075,0.85
97,GoogLeNet,Traditional Augmentation,Covid,0.0075,0.855
98,GoogLeNet,Traditional Augmentation,Covid,0.00875,0.855
99,GoogLeNet,Traditional Augmentation,Covid,0.00875,0.8575
100,GoogLeNet,Traditional Augmentation,Covid,0.01,0.8575
101,GoogLeNet,Traditional Augmentation,Covid,0.01,0.865
102,GoogLeNet,Traditional Augmentation,Covid,0.01125,0.865
103,GoogLeNet,Traditional Augmentation,Covid,0.01125,0.8725
104,GoogLeNet,Traditional Augmentation,Covid,0.0125,0.8725
105,GoogLeNet,Traditional Augmentation,Covid,0.0125,0.88
106,GoogLeNet,Traditional Augmentation,Covid,0.01375,0.88
