,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0
1,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0025
2,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0075
3,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.01
4,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.02
5,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.025
6,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.035
7,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0375
8,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0425
9,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.05
10,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.06
11,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0725
12,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.075
13,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0825
14,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.0875
15,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.09
16,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.095
17,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.105
18,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1125
19,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.115
20,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1275
21,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.13
22,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.135
23,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1425
24,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1475
25,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1525
26,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1675
27,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.1725
28,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.175
29,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.18
30,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.185
31,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.195
32,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2
33,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2025
34,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2075
35,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.215
36,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.22
37,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2225
38,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2275
39,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2375
40,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2475
41,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.25
42,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.255
43,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2625
44,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2675
45,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.275
46,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.28
47,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2875
48,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.2975
49,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.3175
50,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.3225
51,GoogLeNet,WGANGP Augmentation,Covid,0.0,0.33
