,Model,Train_Condition,Class,fprs,tprs
0,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0
1,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0025
2,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0125
3,GoogLeNet,WGAN Augmentation,Covid,0.0,0.02
4,GoogLeNet,WGAN Augmentation,Covid,0.0,0.025
5,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0275
6,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0375
7,GoogLeNet,WGAN Augmentation,Covid,0.0,0.04
8,GoogLeNet,WGAN Augmentation,Covid,0.0,0.045
9,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0525
10,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0675
11,GoogLeNet,WGAN Augmentation,Covid,0.0,0.075
12,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0875
13,GoogLeNet,WGAN Augmentation,Covid,0.0,0.0925
14,GoogLeNet,WGAN Augmentation,Covid,0.0,0.095
15,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1025
16,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1075
17,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1175
18,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1325
19,GoogLeNet,WGAN Augmentation,Covid,0.0,0.135
20,GoogLeNet,WGAN Augmentation,Covid,0.0,0.14
21,GoogLeNet,WGAN Augmentation,Covid,0.0,0.145
22,GoogLeNet,WGAN Augmentation,Covid,0.0,0.15
23,GoogLeNet,WGAN Augmentation,Covid,0.0,0.155
24,GoogLeNet,WGAN Augmentation,Covid,0.0,0.16
25,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1675
26,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1775
27,GoogLeNet,WGAN Augmentation,Covid,0.0,0.185
28,GoogLeNet,WGAN Augmentation,Covid,0.0,0.19
29,GoogLeNet,WGAN Augmentation,Covid,0.0,0.1975
30,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2025
31,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2225
32,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2275
33,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2525
34,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2625
35,GoogLeNet,WGAN Augmentation,Covid,0.0,0.27
36,GoogLeNet,WGAN Augmentation,Covid,0.0,0.275
37,GoogLeNet,WGAN Augmentation,Covid,0.0,0.2875
38,GoogLeNet,WGAN Augmentation,Covid,0.0,0.29
39,GoogLeNet,WGAN Augmentation,Covid,0.0,0.305
40,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3075
41,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3125
42,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3175
43,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3225
44,GoogLeNet,WGAN Augmentation,Covid,0.0,0.33
45,GoogLeNet,WGAN Augmentation,Covid,0.0,0.335
46,GoogLeNet,WGAN Augmentation,Covid,0.0,0.34
47,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3475
48,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3525
49,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3575
50,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3725
51,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3775
52,GoogLeNet,WGAN Augmentation,Covid,0.0,0.3825
53,GoogLeNet,WGAN Augmentation,Covid,0.0,0.39
54,GoogLeNet,WGAN Augmentation,Covid,0.0,0.395
55,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4
56,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4075
57,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4125
58,GoogLeNet,WGAN Augmentation,Covid,0.0,0.42
59,GoogLeNet,WGAN Augmentation,Covid,0.0,0.425
60,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4325
61,GoogLeNet,WGAN Augmentation,Covid,0.0,0.4375
62,GoogLeNet,WGAN Augmentation,Covid,0.0,0.445
63,GoogLeNet,WGAN Augmentation,Covid,0.0,0.495
64,GoogLeNet,WGAN Augmentation,Covid,0.0,0.5
65,GoogLeNet,WGAN Augmentation,Covid,0.0,0.525
66,GoogLeNet,WGAN Augmentation,Covid,0.0,0.53
67,GoogLeNet,WGAN Augmentation,Covid,0.0,0.535
68,GoogLeNet,WGAN Augmentation,Covid,0.0,0.54
69,GoogLeNet,WGAN Augmentation,Covid,0.0,0.565
70,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.565
71,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.575
72,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.585
73,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.59
74,GoogLeNet,WGAN Augmentation,Covid,0.00125,0.7175
75,GoogLeNet,WGAN Augmentation,Covid,0.0025,0.7175
76,GoogLeNet,WGAN Augmentation,Covid,0.0025,0.8025
77,GoogLeNet,WGAN Augmentation,Covid,0.00375,0.8025
78,GoogLeNet,WGAN Augmentation,Covid,0.00375,0.8175
79,GoogLeNet,WGAN Augmentation,Covid,0.005,0.8175
80,GoogLeNet,WGAN Augmentation,Covid,0.005,0.845
81,GoogLeNet,WGAN Augmentation,Covid,0.00625,0.845
82,GoogLeNet,WGAN Augmentation,Covid,0.00625,0.8575
83,GoogLeNet,WGAN Augmentation,Covid,0.0075,0.8575
84,GoogLeNet,WGAN Augmentation,Covid,0.0075,0.8625
85,GoogLeNet,WGAN Augmentation,Covid,0.00875,0.8625
86,GoogLeNet,WGAN Augmentation,Covid,0.00875,0.8725
87,GoogLeNet,WGAN Augmentation,Covid,0.01,0.8725
88,GoogLeNet,WGAN Augmentation,Covid,0.01,0.875
89,GoogLeNet,WGAN Augmentation,Covid,0.01125,0.875
90,GoogLeNet,WGAN Augmentation,Covid,0.01125,0.88
91,GoogLeNet,WGAN Augmentation,Covid,0.0125,0.88
92,GoogLeNet,WGAN Augmentation,Covid,0.0125,0.885
93,GoogLeNet,WGAN Augmentation,Covid,0.01375,0.885
94,GoogLeNet,WGAN Augmentation,Covid,0.01375,0.9075
95,GoogLeNet,WGAN Augmentation,Covid,0.01375,0.9125
96,GoogLeNet,WGAN Augmentation,Covid,0.01375,0.9425
97,GoogLeNet,WGAN Augmentation,Covid,0.01375,0.9475
98,GoogLeNet,WGAN Augmentation,Covid,0.01375,0.95
99,GoogLeNet,WGAN Augmentation,Covid,0.01625,0.95
100,GoogLeNet,WGAN Augmentation,Covid,0.01625,0.955
101,GoogLeNet,WGAN Augmentation,Covid,0.0175,0.955
102,GoogLeNet,WGAN Augmentation,Covid,0.0175,0.9675
103,GoogLeNet,WGAN Augmentation,Covid,0.02,0.9675
104,GoogLeNet,WGAN Augmentation,Covid,0.02,0.97
105,GoogLeNet,WGAN Augmentation,Covid,0.02125,0.97
106,GoogLeNet,WGAN Augmentation,Covid,0.02125,0.9775
107,GoogLeNet,WGAN Augmentation,Covid,0.025,0.9775
108,GoogLeNet,WGAN Augmentation,Covid,0.025,0.98
109,GoogLeNet,WGAN Augmentation,Covid,0.02625,0.98
110,GoogLeNet,WGAN Augmentation,Covid,0.02625,0.9825
111,GoogLeNet,WGAN Augmentation,Covid,0.02875,0.9825
