,Model,Train_Condition,Class,fprs,tprs
0,ResNet50,Traditional Augmentation,Covid,0.0,0.0
1,ResNet50,Traditional Augmentation,Covid,0.0,0.0025
2,ResNet50,Traditional Augmentation,Covid,0.0,0.0075
3,ResNet50,Traditional Augmentation,Covid,0.0,0.0225
4,ResNet50,Traditional Augmentation,Covid,0.0,0.045
5,ResNet50,Traditional Augmentation,Covid,0.0,0.0975
6,ResNet50,Traditional Augmentation,Covid,0.0,0.1225
7,ResNet50,Traditional Augmentation,Covid,0.0,0.1425
8,ResNet50,Traditional Augmentation,Covid,0.0,0.1475
9,ResNet50,Traditional Augmentation,Covid,0.0,0.15
10,ResNet50,Traditional Augmentation,Covid,0.0,0.1625
11,ResNet50,Traditional Augmentation,Covid,0.0,0.17
12,ResNet50,Traditional Augmentation,Covid,0.0,0.1725
13,ResNet50,Traditional Augmentation,Covid,0.0,0.185
14,ResNet50,Traditional Augmentation,Covid,0.0,0.19
15,ResNet50,Traditional Augmentation,Covid,0.0,0.21
16,ResNet50,Traditional Augmentation,Covid,0.0,0.215
17,ResNet50,Traditional Augmentation,Covid,0.0,0.235
18,ResNet50,Traditional Augmentation,Covid,0.0,0.245
19,ResNet50,Traditional Augmentation,Covid,0.0,0.25
20,ResNet50,Traditional Augmentation,Covid,0.0,0.2525
21,ResNet50,Traditional Augmentation,Covid,0.0,0.2575
22,ResNet50,Traditional Augmentation,Covid,0.0,0.2675
23,ResNet50,Traditional Augmentation,Covid,0.0,0.2725
24,ResNet50,Traditional Augmentation,Covid,0.0,0.2775
25,ResNet50,Traditional Augmentation,Covid,0.0,0.285
26,ResNet50,Traditional Augmentation,Covid,0.0,0.3
27,ResNet50,Traditional Augmentation,Covid,0.0,0.31
28,ResNet50,Traditional Augmentation,Covid,0.0,0.3175
29,ResNet50,Traditional Augmentation,Covid,0.0,0.32
30,ResNet50,Traditional Augmentation,Covid,0.0,0.325
31,ResNet50,Traditional Augmentation,Covid,0.0,0.3275
32,ResNet50,Traditional Augmentation,Covid,0.0,0.3325
33,ResNet50,Traditional Augmentation,Covid,0.0,0.335
34,ResNet50,Traditional Augmentation,Covid,0.0,0.345
35,ResNet50,Traditional Augmentation,Covid,0.0,0.35
36,ResNet50,Traditional Augmentation,Covid,0.0,0.355
37,ResNet50,Traditional Augmentation,Covid,0.0,0.365
38,ResNet50,Traditional Augmentation,Covid,0.0,0.37
39,ResNet50,Traditional Augmentation,Covid,0.0,0.3825
40,ResNet50,Traditional Augmentation,Covid,0.0,0.3925
41,ResNet50,Traditional Augmentation,Covid,0.00125,0.395
42,ResNet50,Traditional Augmentation,Covid,0.00125,0.4
43,ResNet50,Traditional Augmentation,Covid,0.00125,0.405
44,ResNet50,Traditional Augmentation,Covid,0.00125,0.4125
45,ResNet50,Traditional Augmentation,Covid,0.00125,0.4225
46,ResNet50,Traditional Augmentation,Covid,0.00125,0.4275
47,ResNet50,Traditional Augmentation,Covid,0.00125,0.4425
48,ResNet50,Traditional Augmentation,Covid,0.00125,0.4475
49,ResNet50,Traditional Augmentation,Covid,0.00125,0.4725
50,ResNet50,Traditional Augmentation,Covid,0.00125,0.4775
51,ResNet50,Traditional Augmentation,Covid,0.00125,0.48
52,ResNet50,Traditional Augmentation,Covid,0.00125,0.485
53,ResNet50,Traditional Augmentation,Covid,0.00125,0.4875
54,ResNet50,Traditional Augmentation,Covid,0.0025,0.4875
55,ResNet50,Traditional Augmentation,Covid,0.0025,0.4975
56,ResNet50,Traditional Augmentation,Covid,0.0025,0.5025
57,ResNet50,Traditional Augmentation,Covid,0.0025,0.5525
58,ResNet50,Traditional Augmentation,Covid,0.0025,0.5575
59,ResNet50,Traditional Augmentation,Covid,0.0025,0.625
60,ResNet50,Traditional Augmentation,Covid,0.00375,0.625
61,ResNet50,Traditional Augmentation,Covid,0.00375,0.6325
62,ResNet50,Traditional Augmentation,Covid,0.00375,0.6375
63,ResNet50,Traditional Augmentation,Covid,0.00375,0.69
64,ResNet50,Traditional Augmentation,Covid,0.00375,0.7
65,ResNet50,Traditional Augmentation,Covid,0.00375,0.7025
66,ResNet50,Traditional Augmentation,Covid,0.00375,0.7075
67,ResNet50,Traditional Augmentation,Covid,0.00375,0.7425
68,ResNet50,Traditional Augmentation,Covid,0.00375,0.7475
69,ResNet50,Traditional Augmentation,Covid,0.00375,0.75
70,ResNet50,Traditional Augmentation,Covid,0.00375,0.755
71,ResNet50,Traditional Augmentation,Covid,0.00375,0.765
72,ResNet50,Traditional Augmentation,Covid,0.00375,0.77
73,ResNet50,Traditional Augmentation,Covid,0.005,0.77
74,ResNet50,Traditional Augmentation,Covid,0.005,0.785
75,ResNet50,Traditional Augmentation,Covid,0.00625,0.785
76,ResNet50,Traditional Augmentation,Covid,0.00625,0.83
77,ResNet50,Traditional Augmentation,Covid,0.0075,0.83
78,ResNet50,Traditional Augmentation,Covid,0.0075,0.8325
79,ResNet50,Traditional Augmentation,Covid,0.00875,0.8325
80,ResNet50,Traditional Augmentation,Covid,0.00875,0.885
81,ResNet50,Traditional Augmentation,Covid,0.01125,0.885
82,ResNet50,Traditional Augmentation,Covid,0.01125,0.9075
83,ResNet50,Traditional Augmentation,Covid,0.01375,0.9075
84,ResNet50,Traditional Augmentation,Covid,0.01375,0.91
85,ResNet50,Traditional Augmentation,Covid,0.015,0.91
86,ResNet50,Traditional Augmentation,Covid,0.015,0.925
87,ResNet50,Traditional Augmentation,Covid,0.01625,0.925
88,ResNet50,Traditional Augmentation,Covid,0.01625,0.9325
89,ResNet50,Traditional Augmentation,Covid,0.0175,0.9325
90,ResNet50,Traditional Augmentation,Covid,0.0175,0.9375
91,ResNet50,Traditional Augmentation,Covid,0.0175,0.9425
92,ResNet50,Traditional Augmentation,Covid,0.0175,0.945
93,ResNet50,Traditional Augmentation,Covid,0.02125,0.945
94,ResNet50,Traditional Augmentation,Covid,0.02125,0.9475
95,ResNet50,Traditional Augmentation,Covid,0.02375,0.9475
96,ResNet50,Traditional Augmentation,Covid,0.02375,0.9525
97,ResNet50,Traditional Augmentation,Covid,0.02625,0.9525
98,ResNet50,Traditional Augmentation,Covid,0.02625,0.955
99,ResNet50,Traditional Augmentation,Covid,0.02875,0.955
100,ResNet50,Traditional Augmentation,Covid,0.02875,0.9575
101,ResNet50,Traditional Augmentation,Covid,0.03,0.9575
102,ResNet50,Traditional Augmentation,Covid,0.03,0.96
103,ResNet50,Traditional Augmentation,Covid,0.03125,0.96
104,ResNet50,Traditional Augmentation,Covid,0.03125,0.9625
105,ResNet50,Traditional Augmentation,Covid,0.0375,0.9625
106,ResNet50,Traditional Augmentation,Covid,0.0375,0.965
107,ResNet50,Traditional Augmentation,Covid,0.04875,0.965
108,ResNet50,Traditional Augmentation,Covid,0.04875,0.9675
109,ResNet50,Traditional Augmentation,Covid,0.05125,0.9675
110,ResNet50,Traditional Augmentation,Covid,0.05125,0.9725
111,ResNet50,Traditional Augmentation,Covid,0.07375,0.9725
112,ResNet50,Traditional Augmentation,Covid,0.07375,0.975
113,ResNet50,Traditional Augmentation,Covid,0.08125,0.975
114,ResNet50,Traditional Augmentation,Covid,0.08125,0.9775
115,ResNet50,Traditional Augmentation,Covid,0.09125,0.9775
116,ResNet50,Traditional Augmentation,Covid,0.09125,0.98
117,ResNet50,Traditional Augmentation,Covid,0.09625,0.98
118,ResNet50,Traditional Augmentation,Covid,0.09625,0.9825
119,ResNet50,Traditional Augmentation,Covid,0.10375,0.9825
120,ResNet50,Traditional Augmentation,Covid,0.10375,0.985
121,ResNet50,Traditional Augmentation,Covid,0.11625,0.985
122,ResNet50,Traditional Augmentation,Covid,0.11625,0.9875
123,ResNet50,Traditional Augmentation,Covid,0.12125,0.9875
124,ResNet50,Traditional Augmentation,Covid,0.12125,0.99
125,ResNet50,Traditional Augmentation,Covid,0.1325,0.99
126,ResNet50,Traditional Augmentation,Covid,0.1325,0.995
127,ResNet50,Traditional Augmentation,Covid,0.19625,0.995
128,ResNet50,Traditional Augmentation,Covid,0.19625,0.9975
129,ResNet50,Traditional Augmentation,Covid,0.28875,0.9975
130,ResNet50,Traditional Augmentation,Covid,0.29125,0.9975
131,ResNet50,Traditional Augmentation,Covid,0.31,0.9975
132,ResNet50,Traditional Augmentation,Covid,0.3125,0.9975
133,ResNet50,Traditional Augmentation,Covid,0.3825,0.9975
134,ResNet50,Traditional Augmentation,Covid,0.3825,1.0
135,ResNet50,Traditional Augmentation,Covid,0.65125,1.0
