,Model,Train_Condition,Class,fprs,tprs
0,ResNet50,Imbalanced,Covid,0.0,0.0
1,ResNet50,Imbalanced,Covid,0.0,0.0425
2,ResNet50,Imbalanced,Covid,0.0,0.055
3,ResNet50,Imbalanced,Covid,0.0,0.0775
4,ResNet50,Imbalanced,Covid,0.0,0.0875
5,ResNet50,Imbalanced,Covid,0.0,0.105
6,ResNet50,Imbalanced,Covid,0.0,0.1175
7,ResNet50,Imbalanced,Covid,0.0,0.14
8,ResNet50,Imbalanced,Covid,0.0,0.1525
9,ResNet50,Imbalanced,Covid,0.0,0.16
10,ResNet50,Imbalanced,Covid,0.0,0.17
11,ResNet50,Imbalanced,Covid,0.0,0.1725
12,ResNet50,Imbalanced,Covid,0.0,0.1875
13,ResNet50,Imbalanced,Covid,0.0,0.19
14,ResNet50,Imbalanced,Covid,0.0,0.195
15,ResNet50,Imbalanced,Covid,0.00125,0.2075
16,ResNet50,Imbalanced,Covid,0.00125,0.21
17,ResNet50,Imbalanced,Covid,0.00125,0.215
18,ResNet50,Imbalanced,Covid,0.00125,0.2225
19,ResNet50,Imbalanced,Covid,0.00125,0.2375
20,ResNet50,Imbalanced,Covid,0.00125,0.2425
21,ResNet50,Imbalanced,Covid,0.00125,0.255
22,ResNet50,Imbalanced,Covid,0.00125,0.2625
23,ResNet50,Imbalanced,Covid,0.00125,0.2675
24,ResNet50,Imbalanced,Covid,0.00125,0.27
25,ResNet50,Imbalanced,Covid,0.00125,0.275
26,ResNet50,Imbalanced,Covid,0.00125,0.2875
27,ResNet50,Imbalanced,Covid,0.00125,0.2925
28,ResNet50,Imbalanced,Covid,0.00125,0.325
29,ResNet50,Imbalanced,Covid,0.00125,0.33
30,ResNet50,Imbalanced,Covid,0.00125,0.35
31,ResNet50,Imbalanced,Covid,0.00125,0.355
32,ResNet50,Imbalanced,Covid,0.00125,0.375
33,ResNet50,Imbalanced,Covid,0.00125,0.38
34,ResNet50,Imbalanced,Covid,0.00125,0.3925
35,ResNet50,Imbalanced,Covid,0.00125,0.3975
36,ResNet50,Imbalanced,Covid,0.00125,0.405
37,ResNet50,Imbalanced,Covid,0.00125,0.41
38,ResNet50,Imbalanced,Covid,0.00125,0.4575
39,ResNet50,Imbalanced,Covid,0.00125,0.4625
40,ResNet50,Imbalanced,Covid,0.00125,0.4725
41,ResNet50,Imbalanced,Covid,0.00125,0.4775
42,ResNet50,Imbalanced,Covid,0.00125,0.485
43,ResNet50,Imbalanced,Covid,0.00125,0.49
44,ResNet50,Imbalanced,Covid,0.00125,0.525
45,ResNet50,Imbalanced,Covid,0.0025,0.525
46,ResNet50,Imbalanced,Covid,0.0025,0.53
47,ResNet50,Imbalanced,Covid,0.0025,0.535
48,ResNet50,Imbalanced,Covid,0.00375,0.535
49,ResNet50,Imbalanced,Covid,0.00375,0.5675
50,ResNet50,Imbalanced,Covid,0.00375,0.5725
51,ResNet50,Imbalanced,Covid,0.00375,0.5825
52,ResNet50,Imbalanced,Covid,0.005,0.5825
53,ResNet50,Imbalanced,Covid,0.005,0.59
54,ResNet50,Imbalanced,Covid,0.00625,0.59
55,ResNet50,Imbalanced,Covid,0.00625,0.6575
56,ResNet50,Imbalanced,Covid,0.00625,0.6625
57,ResNet50,Imbalanced,Covid,0.00625,0.6675
58,ResNet50,Imbalanced,Covid,0.00625,0.6725
59,ResNet50,Imbalanced,Covid,0.00625,0.675
60,ResNet50,Imbalanced,Covid,0.0075,0.675
61,ResNet50,Imbalanced,Covid,0.0075,0.6925
62,ResNet50,Imbalanced,Covid,0.00875,0.6925
63,ResNet50,Imbalanced,Covid,0.00875,0.7525
64,ResNet50,Imbalanced,Covid,0.01,0.7525
65,ResNet50,Imbalanced,Covid,0.01,0.7875
66,ResNet50,Imbalanced,Covid,0.01125,0.7875
67,ResNet50,Imbalanced,Covid,0.01125,0.7925
68,ResNet50,Imbalanced,Covid,0.01125,0.7975
69,ResNet50,Imbalanced,Covid,0.01125,0.805
70,ResNet50,Imbalanced,Covid,0.01375,0.805
71,ResNet50,Imbalanced,Covid,0.01375,0.8075
72,ResNet50,Imbalanced,Covid,0.015,0.8075
73,ResNet50,Imbalanced,Covid,0.015,0.815
74,ResNet50,Imbalanced,Covid,0.01625,0.815
75,ResNet50,Imbalanced,Covid,0.01625,0.82
76,ResNet50,Imbalanced,Covid,0.0175,0.82
77,ResNet50,Imbalanced,Covid,0.0175,0.825
78,ResNet50,Imbalanced,Covid,0.01875,0.825
79,ResNet50,Imbalanced,Covid,0.01875,0.84
80,ResNet50,Imbalanced,Covid,0.02,0.84
81,ResNet50,Imbalanced,Covid,0.02,0.8425
82,ResNet50,Imbalanced,Covid,0.02125,0.8425
83,ResNet50,Imbalanced,Covid,0.02125,0.8475
84,ResNet50,Imbalanced,Covid,0.0225,0.8475
85,ResNet50,Imbalanced,Covid,0.0225,0.8525
86,ResNet50,Imbalanced,Covid,0.02375,0.8525
87,ResNet50,Imbalanced,Covid,0.02375,0.865
88,ResNet50,Imbalanced,Covid,0.02375,0.87
