,Model,Train_Condition,Class,fprs,tprs
0,ResNet50,DCGAN Augmentation,Covid,0.0,0.0
1,ResNet50,DCGAN Augmentation,Covid,0.0,0.0275
2,ResNet50,DCGAN Augmentation,Covid,0.0,0.05
3,ResNet50,DCGAN Augmentation,Covid,0.0,0.0675
4,ResNet50,DCGAN Augmentation,Covid,0.0,0.095
5,ResNet50,DCGAN Augmentation,Covid,0.0,0.115
6,ResNet50,DCGAN Augmentation,Covid,0.0,0.12
7,ResNet50,DCGAN Augmentation,Covid,0.0,0.135
8,ResNet50,DCGAN Augmentation,Covid,0.0,0.1525
9,ResNet50,DCGAN Augmentation,Covid,0.0,0.1775
10,ResNet50,DCGAN Augmentation,Covid,0.0,0.1875
11,ResNet50,DCGAN Augmentation,Covid,0.0,0.2
12,ResNet50,DCGAN Augmentation,Covid,0.0,0.205
13,ResNet50,DCGAN Augmentation,Covid,0.0,0.23
14,ResNet50,DCGAN Augmentation,Covid,0.0,0.2375
15,ResNet50,DCGAN Augmentation,Covid,0.0,0.255
16,ResNet50,DCGAN Augmentation,Covid,0.0,0.2575
17,ResNet50,DCGAN Augmentation,Covid,0.0,0.2675
18,ResNet50,DCGAN Augmentation,Covid,0.0,0.27
19,ResNet50,DCGAN Augmentation,Covid,0.0,0.2875
20,ResNet50,DCGAN Augmentation,Covid,0.0,0.2975
21,ResNet50,DCGAN Augmentation,Covid,0.0,0.3025
22,ResNet50,DCGAN Augmentation,Covid,0.0,0.305
23,ResNet50,DCGAN Augmentation,Covid,0.0,0.31
24,ResNet50,DCGAN Augmentation,Covid,0.0,0.3175
25,ResNet50,DCGAN Augmentation,Covid,0.0,0.32
26,ResNet50,DCGAN Augmentation,Covid,0.0,0.3325
27,ResNet50,DCGAN Augmentation,Covid,0.0,0.34
28,ResNet50,DCGAN Augmentation,Covid,0.0,0.345
29,ResNet50,DCGAN Augmentation,Covid,0.0,0.3475
30,ResNet50,DCGAN Augmentation,Covid,0.0,0.3525
31,ResNet50,DCGAN Augmentation,Covid,0.0,0.355
32,ResNet50,DCGAN Augmentation,Covid,0.0,0.36
33,ResNet50,DCGAN Augmentation,Covid,0.0,0.3625
34,ResNet50,DCGAN Augmentation,Covid,0.0,0.3675
35,ResNet50,DCGAN Augmentation,Covid,0.0,0.37
36,ResNet50,DCGAN Augmentation,Covid,0.0,0.375
37,ResNet50,DCGAN Augmentation,Covid,0.0,0.38
38,ResNet50,DCGAN Augmentation,Covid,0.0,0.395
39,ResNet50,DCGAN Augmentation,Covid,0.0,0.4
40,ResNet50,DCGAN Augmentation,Covid,0.0,0.4075
41,ResNet50,DCGAN Augmentation,Covid,0.0,0.4125
42,ResNet50,DCGAN Augmentation,Covid,0.0,0.425
43,ResNet50,DCGAN Augmentation,Covid,0.0,0.43
44,ResNet50,DCGAN Augmentation,Covid,0.0,0.4375
45,ResNet50,DCGAN Augmentation,Covid,0.0,0.4425
46,ResNet50,DCGAN Augmentation,Covid,0.0,0.4475
47,ResNet50,DCGAN Augmentation,Covid,0.0,0.4575
48,ResNet50,DCGAN Augmentation,Covid,0.0,0.485
49,ResNet50,DCGAN Augmentation,Covid,0.0,0.49
50,ResNet50,DCGAN Augmentation,Covid,0.0,0.5
51,ResNet50,DCGAN Augmentation,Covid,0.00125,0.5
52,ResNet50,DCGAN Augmentation,Covid,0.00125,0.56
53,ResNet50,DCGAN Augmentation,Covid,0.00125,0.565
54,ResNet50,DCGAN Augmentation,Covid,0.00125,0.5775
55,ResNet50,DCGAN Augmentation,Covid,0.0025,0.5775
56,ResNet50,DCGAN Augmentation,Covid,0.0025,0.6275
57,ResNet50,DCGAN Augmentation,Covid,0.0025,0.6375
58,ResNet50,DCGAN Augmentation,Covid,0.0025,0.6575
59,ResNet50,DCGAN Augmentation,Covid,0.00375,0.6575
60,ResNet50,DCGAN Augmentation,Covid,0.00375,0.6675
61,ResNet50,DCGAN Augmentation,Covid,0.005,0.6675
62,ResNet50,DCGAN Augmentation,Covid,0.005,0.6725
63,ResNet50,DCGAN Augmentation,Covid,0.005,0.6775
64,ResNet50,DCGAN Augmentation,Covid,0.005,0.685
65,ResNet50,DCGAN Augmentation,Covid,0.00625,0.685
66,ResNet50,DCGAN Augmentation,Covid,0.00625,0.7175
67,ResNet50,DCGAN Augmentation,Covid,0.00625,0.7225
68,ResNet50,DCGAN Augmentation,Covid,0.00625,0.7425
69,ResNet50,DCGAN Augmentation,Covid,0.0075,0.7425
70,ResNet50,DCGAN Augmentation,Covid,0.0075,0.77
71,ResNet50,DCGAN Augmentation,Covid,0.0075,0.775
72,ResNet50,DCGAN Augmentation,Covid,0.0075,0.8125
73,ResNet50,DCGAN Augmentation,Covid,0.00875,0.8125
74,ResNet50,DCGAN Augmentation,Covid,0.00875,0.8175
75,ResNet50,DCGAN Augmentation,Covid,0.00875,0.8625
76,ResNet50,DCGAN Augmentation,Covid,0.01,0.8625
77,ResNet50,DCGAN Augmentation,Covid,0.01,0.8675
78,ResNet50,DCGAN Augmentation,Covid,0.01125,0.8675
79,ResNet50,DCGAN Augmentation,Covid,0.01125,0.8725
80,ResNet50,DCGAN Augmentation,Covid,0.0125,0.8725
81,ResNet50,DCGAN Augmentation,Covid,0.0125,0.8975
82,ResNet50,DCGAN Augmentation,Covid,0.01375,0.8975
83,ResNet50,DCGAN Augmentation,Covid,0.01375,0.925
84,ResNet50,DCGAN Augmentation,Covid,0.015,0.925
85,ResNet50,DCGAN Augmentation,Covid,0.015,0.935
86,ResNet50,DCGAN Augmentation,Covid,0.01625,0.935
87,ResNet50,DCGAN Augmentation,Covid,0.01625,0.9375
88,ResNet50,DCGAN Augmentation,Covid,0.0175,0.9375
89,ResNet50,DCGAN Augmentation,Covid,0.0175,0.9425
90,ResNet50,DCGAN Augmentation,Covid,0.02125,0.9425
91,ResNet50,DCGAN Augmentation,Covid,0.02125,0.945
92,ResNet50,DCGAN Augmentation,Covid,0.0225,0.945
93,ResNet50,DCGAN Augmentation,Covid,0.0225,0.95
94,ResNet50,DCGAN Augmentation,Covid,0.02375,0.95
95,ResNet50,DCGAN Augmentation,Covid,0.02375,0.9575
96,ResNet50,DCGAN Augmentation,Covid,0.0275,0.9575
97,ResNet50,DCGAN Augmentation,Covid,0.0275,0.96
98,ResNet50,DCGAN Augmentation,Covid,0.02875,0.96
99,ResNet50,DCGAN Augmentation,Covid,0.02875,0.9625
100,ResNet50,DCGAN Augmentation,Covid,0.02875,0.9675
101,ResNet50,DCGAN Augmentation,Covid,0.03875,0.9675
102,ResNet50,DCGAN Augmentation,Covid,0.03875,0.97
103,ResNet50,DCGAN Augmentation,Covid,0.04125,0.97
104,ResNet50,DCGAN Augmentation,Covid,0.04125,0.9775
105,ResNet50,DCGAN Augmentation,Covid,0.05125,0.9775
106,ResNet50,DCGAN Augmentation,Covid,0.05125,0.98
107,ResNet50,DCGAN Augmentation,Covid,0.06125,0.98
108,ResNet50,DCGAN Augmentation,Covid,0.06125,0.985
109,ResNet50,DCGAN Augmentation,Covid,0.06375,0.985
110,ResNet50,DCGAN Augmentation,Covid,0.06375,0.9875
111,ResNet50,DCGAN Augmentation,Covid,0.065,0.9875
112,ResNet50,DCGAN Augmentation,Covid,0.065,0.99
113,ResNet50,DCGAN Augmentation,Covid,0.08375,0.99
114,ResNet50,DCGAN Augmentation,Covid,0.08375,0.9925
115,ResNet50,DCGAN Augmentation,Covid,0.12,0.9925
116,ResNet50,DCGAN Augmentation,Covid,0.12,0.995
117,ResNet50,DCGAN Augmentation,Covid,0.21125,0.995
118,ResNet50,DCGAN Augmentation,Covid,0.21375,0.995
119,ResNet50,DCGAN Augmentation,Covid,0.2825,0.995
120,ResNet50,DCGAN Augmentation,Covid,0.285,0.995
121,ResNet50,DCGAN Augmentation,Covid,0.3975,0.995
122,ResNet50,DCGAN Augmentation,Covid,0.3975,0.9975
123,ResNet50,DCGAN Augmentation,Covid,0.415,0.9975
124,ResNet50,DCGAN Augmentation,Covid,0.4175,0.9975
125,ResNet50,DCGAN Augmentation,Covid,0.45375,0.9975
126,ResNet50,DCGAN Augmentation,Covid,0.45375,1.0
127,ResNet50,DCGAN Augmentation,Covid,0.7825,1.0
128,ResNet50,DCGAN Augmentation,Covid,0.785,1.0
129,ResNet50,DCGAN Augmentation,Covid,1.0,1.0
130,ResNet50,DCGAN Augmentation,Normal,0.0,0.0
131,ResNet50,DCGAN Augmentation,Normal,0.0,0.1025
132,ResNet50,DCGAN Augmentation,Normal,0.0,0.1725
133,ResNet50,DCGAN Augmentation,Normal,0.0,0.2225
134,ResNet50,DCGAN Augmentation,Normal,0.0,0.24
135,ResNet50,DCGAN Augmentation,Normal,0.0,0.2675
136,ResNet50,DCGAN Augmentation,Normal,0.0,0.28
137,ResNet50,DCGAN Augmentation,Normal,0.0,0.295
138,ResNet50,DCGAN Augmentation,Normal,0.0,0.32
139,ResNet50,DCGAN Augmentation,Normal,0.0,0.3225
140,ResNet50,DCGAN Augmentation,Normal,0.0,0.3325
141,ResNet50,DCGAN Augmentation,Normal,0.0,0.3375
142,ResNet50,DCGAN Augmentation,Normal,0.0,0.3475
143,ResNet50,DCGAN Augmentation,Normal,0.0,0.355
144,ResNet50,DCGAN Augmentation,Normal,0.0,0.3675
145,ResNet50,DCGAN Augmentation,Normal,0.0,0.3725
146,ResNet50,DCGAN Augmentation,Normal,0.0,0.38
147,ResNet50,DCGAN Augmentation,Normal,0.0,0.39
148,ResNet50,DCGAN Augmentation,Normal,0.0,0.3975
149,ResNet50,DCGAN Augmentation,Normal,0.0,0.4025
150,ResNet50,DCGAN Augmentation,Normal,0.0,0.415
151,ResNet50,DCGAN Augmentation,Normal,0.0,0.425
152,ResNet50,DCGAN Augmentation,Normal,0.0,0.4275
153,ResNet50,DCGAN Augmentation,Normal,0.0,0.45
154,ResNet50,DCGAN Augmentation,Normal,0.0,0.46
155,ResNet50,DCGAN Augmentation,Normal,0.0,0.4625
156,ResNet50,DCGAN Augmentation,Normal,0.0,0.4675
